28,29,29,0,You see a Baby's crib but you don't hear any crying from it.,What now?,Walk Up to it.,Throw a Chair at it.,-,src/FrontEnd/img/babyCrib.jpg
29,27,27,0,There's a fake doll in the crib! It is covered in BLOOD. Head back to the corridor!,-,-,-,-,src/FrontEnd/img/bloodyDoll.png
30,27,31,0,You feel like throwing up! It smells like Something's Rotting!,What now?,Cover Your Nose and Ignore It,Take a break.,-,src/FrontEnd/img/throwUp.jpg
31,23,23,0,You got tapped on your shoulder! The figure with the rotting smell has caught up to you!,-,-,-,-,src/FrontEnd/img/rotten.jpg
32,33,35,0,Room is in a mess and you hear the cries get LOUDER!,What now?,Plunge Through the Mess.,Carefully Move Things out of the way!,-,src/FrontEnd/img/messyroom.jpg
33,34,35,0,Trips on a silk cloth and you accidentally hit your head on a table. You've injured your head!,What now?,Cover the Wound with a bandage.,Keep Moving!,-,src/FrontEnd/img/head.jpg
34,23,23,0,You took too long! The Ghost Found you!,-,-,-,-,src/FrontEnd/img/ghost.jpg
35,36,37,38,There are things in your way.,What are you going to move?,Approach the Cupboard.,Approach the Table.,Approach the Chest of Drawers.,src/FrontEnd/img/messyroom.jpg
36,19,39,0,You noticed that the Cupboard has been untouched for years.,What now?,Open it.,Keep Searching!,-,src/FrontEnd/img/cupboard.jpg
37,19,39,0,You noticed that there are Baby toys on the table.,What now?,Look Underneath the Table,Keep Searching!,-,src/FrontEnd/img/table2.jpg
38,19,39,0,You noticed something moving in the drawers.,What now?,Open the last drawer!,Keep Searching!,-,src/FrontEnd/img/drawers.jpg
39,40,41,0,You looked across the room and found the Baby in the corner!,What now?,Get out by jumping in the pool through the window.,Get out by walking down the stairs.,-,src/FrontEnd/img/cornerbb.png
40,42,42,0,You managed to escape and rescue the baby from the Abandoned House!,-,-,-,-,src/FrontEnd/img/saved.png
41,23,23,0,While walking down.. you got pushed from the back by a figure and passed out upon impact of the ground.,-,-,-,-,src/FrontEnd/img/pushed.jpg
42,0,0,0,Rescue mission was a success as you and the baby are safe!,END,-,-,-,src/FrontEnd/img/congrats.png
